2021-06-29 22:06:770 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 22:06:210 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 22:06:614 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 22:06:647 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 22:06:395 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 22:06:900 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 22:06:643 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 22:06:33 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 22:06:105 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 22:06:23 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 23:06:941 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 23:06:949 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (ebdcedbe61fab30a4169e629ed7e5562)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-29 23:06:385 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (ebdcedbe61fab30a4169e629ed7e5562)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-29 23:06:960 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 23:06:758 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (b44df72362d4178d486d8b924e1b3b37)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-29 23:06:278 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (b44df72362d4178d486d8b924e1b3b37)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-29 23:06:311 INFO  DesktopPage :18 - Getting text from : [[ChromeDriver: chrome on WINDOWS (b44df72362d4178d486d8b924e1b3b37)] -> xpath: //div[@class='page-title']//h1]
2021-06-29 23:06:990 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 23:06:233 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (f25df6fc8c126f826ba30492a51992c8)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-29 23:06:621 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (f25df6fc8c126f826ba30492a51992c8)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-29 23:06:720 INFO  DesktopPage :18 - Getting text from : [[ChromeDriver: chrome on WINDOWS (f25df6fc8c126f826ba30492a51992c8)] -> xpath: //div[@class='page-title']//h1]
2021-06-29 23:06:458 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 23:06:454 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (1bda27e79a402ad8bb973436880e4f18)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-29 23:06:293 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (1bda27e79a402ad8bb973436880e4f18)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-29 23:06:327 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (1bda27e79a402ad8bb973436880e4f18)] -> xpath: //div[@class='page-title']//h1]
2021-06-29 23:06:353 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 23:06:625 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 23:06:390 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 23:06:306 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (5e09a56c9c0c747488301c04e168bded)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-29 23:06:808 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (5e09a56c9c0c747488301c04e168bded)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-29 23:06:840 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (5e09a56c9c0c747488301c04e168bded)] -> xpath: //div[@class='page-title']//h1]
2021-06-29 23:06:742 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 23:06:380 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 23:06:573 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 23:06:587 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 23:06:943 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 23:06:170 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (efae3ead2c5a5b8328b7ad155caf7435)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-29 23:06:741 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (efae3ead2c5a5b8328b7ad155caf7435)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-29 23:06:774 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (efae3ead2c5a5b8328b7ad155caf7435)] -> xpath: //div[@class='page-title']//h1]
2021-06-29 23:06:904 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 23:06:607 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 23:06:60 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (273a384fb8d53f502e3431461d78f720)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
